ProductKey,ProductSubcategoryKey,Category,SubCategory,EnglishProductName,Color,Size,ProductLine,ModelName,EnglishDescription,StartDate,EndDate,Product_Status
33,NULL,NULL,NULL,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
34,NULL,NULL,NULL,Guide Pulley,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
35,NULL,NULL,NULL,LL Grip Tape,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
36,NULL,NULL,NULL,ML Grip Tape,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
37,NULL,NULL,NULL,HL Grip Tape,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
38,NULL,NULL,NULL,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
39,NULL,NULL,NULL,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
40,NULL,NULL,NULL,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
41,NULL,NULL,NULL,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
42,NULL,NULL,NULL,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
43,NULL,NULL,NULL,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
44,NULL,NULL,NULL,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
45,NULL,NULL,NULL,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
46,NULL,NULL,NULL,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
47,NULL,NULL,NULL,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
48,NULL,NULL,NULL,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
49,NULL,NULL,NULL,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
50,NULL,NULL,NULL,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
51,NULL,NULL,NULL,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
52,NULL,NULL,NULL,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
53,NULL,NULL,NULL,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
54,NULL,NULL,NULL,Hex Nut 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
55,NULL,NULL,NULL,Hex Nut 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
56,NULL,NULL,NULL,Hex Nut 16,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
57,NULL,NULL,NULL,Hex Nut 17,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
58,NULL,NULL,NULL,Hex Nut 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
59,NULL,NULL,NULL,Hex Nut 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
60,NULL,NULL,NULL,Hex Nut 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
61,NULL,NULL,NULL,Hex Nut 22,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
62,NULL,NULL,NULL,Hex Nut 23,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
63,NULL,NULL,NULL,Hex Nut 12,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
64,NULL,NULL,NULL,Hex Nut 13,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
65,NULL,NULL,NULL,Hex Nut 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
66,NULL,NULL,NULL,Hex Nut 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
67,NULL,NULL,NULL,Hex Nut 11,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
68,NULL,NULL,NULL,Hex Nut 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
69,NULL,NULL,NULL,Hex Nut 20,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
70,NULL,NULL,NULL,Hex Nut 21,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
71,NULL,NULL,NULL,Hex Nut 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
72,NULL,NULL,NULL,Hex Nut 14,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
73,NULL,NULL,NULL,Hex Nut 15,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
74,NULL,NULL,NULL,Hex Nut 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
75,NULL,NULL,NULL,Hex Nut 18,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
76,NULL,NULL,NULL,Hex Nut 19,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
77,NULL,NULL,NULL,Handlebar Tube,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
78,NULL,NULL,NULL,Head Tube,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
79,NULL,NULL,NULL,LL Hub,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
80,NULL,NULL,NULL,HL Hub,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
81,NULL,NULL,NULL,Keyed Washer,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
82,NULL,NULL,NULL,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
83,NULL,NULL,NULL,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
84,NULL,NULL,NULL,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
85,NULL,NULL,NULL,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
86,NULL,NULL,NULL,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
87,NULL,NULL,NULL,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
88,NULL,NULL,NULL,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
89,NULL,NULL,NULL,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
90,NULL,NULL,NULL,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
91,NULL,NULL,NULL,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
92,NULL,NULL,NULL,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
93,NULL,NULL,NULL,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
94,NULL,NULL,NULL,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
95,NULL,NULL,NULL,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
96,NULL,NULL,NULL,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
97,NULL,NULL,NULL,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
98,NULL,NULL,NULL,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
99,NULL,NULL,NULL,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
100,NULL,NULL,NULL,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
101,NULL,NULL,NULL,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
102,NULL,NULL,NULL,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
103,NULL,NULL,NULL,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
104,NULL,NULL,NULL,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
105,NULL,NULL,NULL,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
106,NULL,NULL,NULL,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
107,NULL,NULL,NULL,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
108,NULL,NULL,NULL,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
109,NULL,NULL,NULL,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
110,NULL,NULL,NULL,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
111,NULL,NULL,NULL,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
112,NULL,NULL,NULL,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
113,NULL,NULL,NULL,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
114,NULL,NULL,NULL,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
115,NULL,NULL,NULL,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
116,NULL,NULL,NULL,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
117,NULL,NULL,NULL,Lock Nut 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
118,NULL,NULL,NULL,Lock Nut 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
119,NULL,NULL,NULL,Lock Nut 16,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
120,NULL,NULL,NULL,Lock Nut 17,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
121,NULL,NULL,NULL,Lock Nut 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
122,NULL,NULL,NULL,Lock Nut 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
123,NULL,NULL,NULL,Lock Nut 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
124,NULL,NULL,NULL,Lock Nut 22,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
125,NULL,NULL,NULL,Lock Nut 23,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
126,NULL,NULL,NULL,Lock Nut 12,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
127,NULL,NULL,NULL,Lock Nut 13,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
128,NULL,NULL,NULL,Lock Nut 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
129,NULL,NULL,NULL,Lock Nut 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
130,NULL,NULL,NULL,Lock Nut 11,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
131,NULL,NULL,NULL,Lock Nut 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
132,NULL,NULL,NULL,Lock Nut 20,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
133,NULL,NULL,NULL,Lock Nut 21,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
134,NULL,NULL,NULL,Lock Nut 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
135,NULL,NULL,NULL,Lock Nut 14,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
136,NULL,NULL,NULL,Lock Nut 15,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
137,NULL,NULL,NULL,Lock Nut 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
138,NULL,NULL,NULL,Lock Nut 19,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
139,NULL,NULL,NULL,Lock Nut 18,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
140,NULL,NULL,NULL,Lock Ring,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
141,NULL,NULL,NULL,Lower Head Race,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
142,NULL,NULL,NULL,Lock Washer 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
143,NULL,NULL,NULL,Lock Washer 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
144,NULL,NULL,NULL,Lock Washer 10,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
145,NULL,NULL,NULL,Lock Washer 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
146,NULL,NULL,NULL,Lock Washer 13,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
147,NULL,NULL,NULL,Lock Washer 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
148,NULL,NULL,NULL,Lock Washer 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
149,NULL,NULL,NULL,Lock Washer 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
150,NULL,NULL,NULL,Lock Washer 12,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
151,NULL,NULL,NULL,Lock Washer 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
152,NULL,NULL,NULL,Lock Washer 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
153,NULL,NULL,NULL,Lock Washer 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
154,NULL,NULL,NULL,Lock Washer 11,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
155,NULL,NULL,NULL,Metal Angle,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
156,NULL,NULL,NULL,Metal Bar 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
157,NULL,NULL,NULL,Metal Bar 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
158,NULL,NULL,NULL,Metal Plate 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
159,NULL,NULL,NULL,Metal Plate 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
160,NULL,NULL,NULL,Metal Plate 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
161,NULL,NULL,NULL,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
162,NULL,NULL,NULL,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
163,NULL,NULL,NULL,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
164,NULL,NULL,NULL,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
165,NULL,NULL,NULL,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
166,NULL,NULL,NULL,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
167,NULL,NULL,NULL,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
168,NULL,NULL,NULL,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
169,NULL,NULL,NULL,LL Nipple,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
170,NULL,NULL,NULL,HL Nipple,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
171,NULL,NULL,NULL,Paint - Black,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
172,NULL,NULL,NULL,Paint - Red,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
173,NULL,NULL,NULL,Paint - Silver,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
174,NULL,NULL,NULL,Paint - Blue,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
175,NULL,NULL,NULL,Paint - Yellow,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
176,NULL,NULL,NULL,Pinch Bolt,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
177,NULL,NULL,NULL,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
178,NULL,NULL,NULL,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
179,NULL,NULL,NULL,Reflector,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
180,NULL,NULL,NULL,LL Mountain Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
181,NULL,NULL,NULL,ML Mountain Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
182,NULL,NULL,NULL,HL Mountain Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
183,NULL,NULL,NULL,LL Road Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
184,NULL,NULL,NULL,ML Road Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
185,NULL,NULL,NULL,HL Road Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
186,NULL,NULL,NULL,Touring Rim,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
187,NULL,NULL,NULL,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
188,NULL,NULL,NULL,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
189,NULL,NULL,NULL,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
190,NULL,NULL,NULL,LL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
191,NULL,NULL,NULL,ML Road Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
192,NULL,NULL,NULL,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
193,NULL,NULL,NULL,LL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
194,NULL,NULL,NULL,ML Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
195,NULL,NULL,NULL,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
196,NULL,NULL,NULL,LL Spindle/Axle,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
197,NULL,NULL,NULL,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
198,NULL,NULL,NULL,LL Shell,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
199,NULL,NULL,NULL,HL Shell,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
200,NULL,NULL,NULL,Spokes,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
201,NULL,NULL,NULL,Seat Lug,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
202,NULL,NULL,NULL,Stem,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
203,NULL,NULL,NULL,Seat Post,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
204,NULL,NULL,NULL,Steerer,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
205,NULL,NULL,NULL,Seat Stays,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
206,NULL,NULL,NULL,Seat Tube,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
207,NULL,NULL,NULL,Top Tube,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
208,NULL,NULL,NULL,Tension Pulley,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
209,NULL,NULL,NULL,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
210,14,Components,Road Frames,"HL Road Frame - Black, 58",Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,2011-07-01 00:00:00.000,NULL,Current
